trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1708,False,"{'a': 0.7, 'e': 0.024196695924791362}",20,8,18.283409096905885,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1709,False,"{'a': 0.7, 'e': 0.024189615691742994}",20,10,16.38722782722117,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1710,False,"{'a': 0.7, 'e': 0.024182541670333724}",25,2,36.33675736024042,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
1711,False,"{'a': 0.7, 'e': 0.024175473851486187}",25,15,20.63526194626001,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1712,False,"{'a': 0.7, 'e': 0.02416841222614159}",30,14,30.245794171695913,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
1713,False,"{'a': 0.7, 'e': 0.024161356785259637}",30,16,24.279180500591814,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1714,False,"{'a': 0.7, 'e': 0.024154307519818494}",25,16,4.565503849787756,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
1715,False,"{'a': 0.7, 'e': 0.02414726442081476}",35,19,27.954944436268978,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
1716,False,"{'a': 0.7, 'e': 0.02414022747926338}",20,8,23.424928875536754,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1717,False,"{'a': 0.7, 'e': 0.02413319668619763}",35,16,26.06467906852737,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
1718,False,"{'a': 0.7, 'e': 0.02412617203266904}",20,9,13.035636270335083,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
1719,False,"{'a': 0.7, 'e': 0.024119153509747387}",25,12,26.095163379634897,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1720,False,"{'a': 0.7, 'e': 0.024112141108520606}",25,11,26.62341130092807,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1721,False,"{'a': 0.7, 'e': 0.024105134820094756}",30,18,25.222740739715555,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1722,False,"{'a': 0.7, 'e': 0.024098134635593994}",25,20,9.283029431210545,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
1723,False,"{'a': 0.7, 'e': 0.02409114054616049}",30,18,25.62034617357734,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1724,False,"{'a': 0.7, 'e': 0.0240841525429544}",20,16,9.601461411586428,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
1725,False,"{'a': 0.7, 'e': 0.02407717061715384}",20,7,23.378127673226302,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1726,False,"{'a': 0.7, 'e': 0.024070194759954793}",30,20,19.57853794520529,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1727,False,"{'a': 0.7, 'e': 0.024063224962571107}",20,8,23.457750589524377,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1728,False,"{'a': 0.7, 'e': 0.024056261216234408}",20,10,21.39879711936213,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
